IPN,MPN,Manufacturer,Series,Type,Resistance,Taper,Value,Turns,Gangs,Switch,Switch Type,Adjustment Type,Description,Shaft Diameter,Length,Width,Height,Footprint,Symbol,Mounting Type,Material,Tolerance,Datasheet
POT-0001-0001,,,,Rotary,1k,Linear,B1k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 1K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0002,,,,Rotary,2k,Linear,B2k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 2K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0003,,,,Rotary,5k,Linear,B5k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 5K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0004,,,,Rotary,10k,Linear,B10k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 10K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0005,,,,Rotary,25k,Linear,B25k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 25K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0006,,,,Rotary,50k,Linear,B50k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 50K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0007,,,,Rotary,100k,Linear,B100k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 100K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0008,,,,Rotary,250k,Linear,B250k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 250K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0009,,,,Rotary,500k,Linear,B500k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 500K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0010,,,,Rotary,1M,Linear,B1M,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 1M,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0011,,,,Rotary,1k,Audio,A1k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 1K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0012,,,,Rotary,2k,Audio,A2k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 2K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0013,,,,Rotary,5k,Audio,A5k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 5K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0014,,,,Rotary,10k,Audio,A10k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 10K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0015,,,,Rotary,25k,Audio,A25k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 25K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0016,,,,Rotary,50k,Audio,A50k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 50K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0017,,,,Rotary,100k,Audio,A100k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 100K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0018,,,,Rotary,250k,Audio,A250k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 250K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0019,,,,Rotary,500k,Audio,A500k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 500K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0020,,,,Rotary,1M,Audio,A1M,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 1M,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0021,,,,Rotary,1k,Rev. Audio,C1k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 1K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0022,,,,Rotary,2k,Rev. Audio,C2k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 2K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0023,,,,Rotary,5k,Rev. Audio,C5k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 5K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0024,,,,Rotary,10k,Rev. Audio,C10k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 10K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0025,,,,Rotary,25k,Rev. Audio,C25k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 25K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0026,,,,Rotary,50k,Rev. Audio,C50k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 50K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0027,,,,Rotary,100k,Rev. Audio,C100k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 100K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0028,,,,Rotary,250k,Rev. Audio,C250k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 250K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0029,,,,Rotary,500k,Rev. Audio,C500k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 500K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0030,,,,Rotary,1M,Rev. Audio,C1M,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 1M,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0001,,,,Rotary,1k,Linear,B1k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 1K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0002,,,,Rotary,2k,Linear,B2k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 2K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0003,,,,Rotary,5k,Linear,B5k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 5K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0004,,,,Rotary,10k,Linear,B10k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 10K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0005,,,,Rotary,25k,Linear,B25k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 25K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0006,,,,Rotary,50k,Linear,B50k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 50K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0007,,,,Rotary,100k,Linear,B100k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 100K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0008,,,,Rotary,250k,Linear,B250k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 250K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0009,,,,Rotary,500k,Linear,B500k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 500K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0010,,,,Rotary,1M,Linear,B1M,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 1M,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0011,,,,Rotary,1k,Audio,A1k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 1K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0012,,,,Rotary,2k,Audio,A2k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 2K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0013,,,,Rotary,5k,Audio,A5k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 5K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0014,,,,Rotary,10k,Audio,A10k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 10K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0015,,,,Rotary,25k,Audio,A25k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 25K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0016,,,,Rotary,50k,Audio,A50k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 50K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0017,,,,Rotary,100k,Audio,A100k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 100K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0018,,,,Rotary,250k,Audio,A250k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 250K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0019,,,,Rotary,500k,Audio,A500k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 500K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0020,,,,Rotary,1M,Audio,A1M,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 1M,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0021,,,,Rotary,1k,Rev. Audio,C1k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 1K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0022,,,,Rotary,2k,Rev. Audio,C2k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 2K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0023,,,,Rotary,5k,Rev. Audio,C5k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 5K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0024,,,,Rotary,10k,Rev. Audio,C10k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 10K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0025,,,,Rotary,25k,Rev. Audio,C25k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 25K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0026,,,,Rotary,50k,Rev. Audio,C50k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 50K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0027,,,,Rotary,100k,Rev. Audio,C100k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 100K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0028,,,,Rotary,250k,Rev. Audio,C250k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 250K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0029,,,,Rotary,500k,Rev. Audio,C500k,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 500K,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0002-0030,,,,Rotary,1M,Rev. Audio,C1M,1,1,None,N/A,Top,POT 9MM REV. AUDIO PTH 1-GANG 6MM-SHAFT 1M,6,,,,BB_Potentiometers:Potentiometer_16MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0005-0001,3362P-1-102LF,Bourns,3362P,Trimmer,1k,Linear,B1k,1,1,None,N/A,Top,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 1K,N/A,6.6,7,4.9,BB_Potentiometers:Potentiometer_Bourns_3362P_Vertical,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
POT-0005-0002,3362P-1-202LF,Bourns,3362P,Trimmer,2k,Linear,B2k,1,1,None,N/A,Top,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 2K,N/A,6.6,7,4.9,BB_Potentiometers:Potentiometer_Bourns_3362P_Vertical,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
POT-0005-0003,3362P-1-502LF,Bourns,3362P,Trimmer,5k,Linear,B5k,1,1,None,N/A,Top,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 5K,N/A,6.6,7,4.9,BB_Potentiometers:Potentiometer_Bourns_3362P_Vertical,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
POT-0005-0004,3362P-1-103LF,Bourns,3362P,Trimmer,10k,Linear,B10k,1,1,None,N/A,Top,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 10K,N/A,6.6,7,4.9,BB_Potentiometers:Potentiometer_Bourns_3362P_Vertical,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
POT-0005-0005,3362P-1-203LF,Bourns,3362P,Trimmer,20k,Linear,B20k,1,1,None,N/A,Top,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 20K,N/A,6.6,7,4.9,BB_Potentiometers:Potentiometer_Bourns_3362P_Vertical,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
POT-0005-0006,3362P-1-503LF,Bourns,3362P,Trimmer,50k,Linear,B50k,1,1,None,N/A,Top,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 50K,N/A,6.6,7,4.9,BB_Potentiometers:Potentiometer_Bourns_3362P_Vertical,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
POT-0005-0007,3362P-1-104LF,Bourns,3362P,Trimmer,100k,Linear,B100k,1,1,None,N/A,Top,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 100K,N/A,6.6,7,4.9,BB_Potentiometers:Potentiometer_Bourns_3362P_Vertical,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
POT-0005-0008,3362P-1-204LF,Bourns,3362P,Trimmer,200k,Linear,B200k,1,1,None,N/A,Top,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 200K,N/A,6.6,7,4.9,BB_Potentiometers:Potentiometer_Bourns_3362P_Vertical,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
POT-0005-0009,3362P-1-304LF,Bourns,3362P,Trimmer,500k,Linear,B500k,1,1,None,N/A,Top,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 500K,N/A,6.6,7,4.9,BB_Potentiometers:Potentiometer_Bourns_3362P_Vertical,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
